ASV,Kingdom,Phylum,Class,Order,Family,Genus,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,log2FC,Upregulated_in…
ASV234,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,2259,TRUE,TRUE,TRUE,TRUE,7.195892686,SpA
ASV465,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Chryseobacterium,2150,TRUE,TRUE,TRUE,TRUE,3.704701745,SpA
ASV590,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,2315,TRUE,TRUE,TRUE,TRUE,2.469485283,SpA
ASV547,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Muribaculaceae,NA,2259,TRUE,TRUE,TRUE,TRUE,2.227140736,SpA
ASV626,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micrococcales,D_4__Microbacteriaceae,D_5__Microbacterium,2299,TRUE,TRUE,TRUE,TRUE,2.132450296,SpA
ASV360,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales,D_4__Caulobacteraceae,D_5__Brevundimonas,2285,TRUE,TRUE,TRUE,TRUE,0.050758025,SpA
ASV299,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Family XI,D_5__Peptoniphilus,2145,TRUE,TRUE,TRUE,TRUE,-0.447458977,Health
ASV709,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Moraxellaceae,D_5__Enhydrobacter,2146,TRUE,TRUE,TRUE,TRUE,-0.447458977,Health
ASV1592,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales,D_4__Erysipelotrichaceae,D_5__Erysipelatoclostridium,2145,TRUE,TRUE,TRUE,TRUE,-0.447458977,Health
ASV1594,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,2149,TRUE,TRUE,TRUE,TRUE,-0.447458977,Health
ASV209,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Capnocytophaga,2157,TRUE,TRUE,TRUE,TRUE,-0.628031223,Health
ASV1049,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Frankiales,D_4__Sporichthyaceae,D_5__hgcI clade,2157,TRUE,TRUE,TRUE,TRUE,-0.628031223,Health
ASV1265,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Frankiales,D_4__Cryptosporangiaceae,D_5__Fodinicola,2159,TRUE,TRUE,TRUE,TRUE,-0.628031223,Health
ASV528,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Chryseobacterium,2163,TRUE,TRUE,TRUE,TRUE,-0.710493383,Health
ASV1182,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Corynebacteriales,D_4__Nocardiaceae,D_5__Rhodococcus,2167,TRUE,TRUE,TRUE,TRUE,-0.710493383,Health
ASV17,D_0__Bacteria,D_1__Actinobacteria,D_2__Coriobacteriia,D_3__Coriobacteriales,D_4__Atopobiaceae,D_5__Olsenella,2162,TRUE,TRUE,TRUE,TRUE,-0.788495895,Health
ASV1121,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Moraxellaceae,D_5__Psychrobacter,2163,TRUE,TRUE,TRUE,TRUE,-0.788495895,Health
ASV3,D_0__Bacteria,D_1__Fusobacteria,D_2__Fusobacteriia,D_3__Fusobacteriales,D_4__Fusobacteriaceae,D_5__Fusobacterium,2156,TRUE,TRUE,TRUE,TRUE,-0.862496476,Health
ASV42,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Family XI,D_5__Finegoldia,2163,TRUE,TRUE,TRUE,TRUE,-0.862496476,Health
ASV1077,D_0__Bacteria,NA,NA,NA,NA,NA,2157,TRUE,TRUE,TRUE,TRUE,-0.862496476,Health
ASV76,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Moraxellaceae,D_5__Acinetobacter,2310,TRUE,TRUE,TRUE,TRUE,-0.933012785,Health
ASV260,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales,D_4__Streptococcaceae,D_5__Streptococcus,2318,TRUE,TRUE,TRUE,TRUE,-0.959721989,Health
ASV476,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Haemophilus,2198,TRUE,TRUE,TRUE,TRUE,-1.048363022,Health
ASV991,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Alteromonadales,D_4__Pseudoalteromonadaceae,D_5__Pseudoalteromonas,2163,TRUE,TRUE,TRUE,TRUE,-1.064130337,Health
ASV478,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Beijerinckiaceae,D_5__Methylobacterium,2176,TRUE,TRUE,TRUE,TRUE,-1.089005006,Health
ASV542,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__Faecalibacterium,2273,TRUE,TRUE,TRUE,TRUE,-1.125530882,Health
ASV24,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Prevotellaceae,D_5__Prevotella 9,2179,TRUE,TRUE,TRUE,TRUE,-1.2410081,Health
ASV836,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Corynebacteriales,D_4__Corynebacteriaceae,D_5__Corynebacterium 1,2158,TRUE,TRUE,TRUE,TRUE,-1.2410081,Health
ASV939,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Vibrionales,D_4__Vibrionaceae,D_5__Vibrio,2270,TRUE,TRUE,TRUE,TRUE,-1.2410081,Health
ASV940,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Hydrogenophilaceae,D_5__Hydrogenophilus,2169,TRUE,TRUE,TRUE,TRUE,-1.2410081,Health
ASV543,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micrococcales,D_4__Micrococcaceae,D_5__Rothia,2160,TRUE,TRUE,TRUE,TRUE,-1.295455884,Health
ASV612,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Pseudarcicella,2292,TRUE,TRUE,TRUE,TRUE,-1.347923303,Health
ASV870,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Prevotellaceae,D_5__Prevotellaceae Ga6A1 group,2292,TRUE,TRUE,TRUE,TRUE,-1.347923303,Health
ASV463,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Corynebacteriales,D_4__Corynebacteriaceae,D_5__Corynebacterium 1,2186,TRUE,TRUE,TRUE,TRUE,-1.410933101,Health
ASV523,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Ralstonia,2209,TRUE,TRUE,TRUE,TRUE,-1.468418596,Health
ASV55,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Corynebacteriales,D_4__Corynebacteriaceae,D_5__Lawsonella,2306,TRUE,TRUE,TRUE,TRUE,-1.579810013,Health
ASV834,D_0__Bacteria,D_1__Fusobacteria,D_2__Fusobacteriia,D_3__Fusobacteriales,D_4__Fusobacteriaceae,D_5__Fusobacterium,2275,TRUE,TRUE,TRUE,TRUE,-1.628031223,Health
ASV310,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,2285,TRUE,TRUE,TRUE,TRUE,-1.750021747,Health
ASV319,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__Chloroplast,NA,NA,2172,TRUE,TRUE,TRUE,TRUE,-1.862496476,Health
ASV338,D_0__Bacteria,D_1__Fusobacteria,D_2__Fusobacteriia,D_3__Fusobacteriales,D_4__Fusobacteriaceae,D_5__Fusobacterium,2185,TRUE,TRUE,TRUE,TRUE,-1.862496476,Health
ASV31,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Aeromonadales,D_4__Succinivibrionaceae,D_5__Anaerobiospirillum,2298,TRUE,TRUE,TRUE,TRUE,-1.932885804,Health
ASV717,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Listeriaceae,D_5__Brochothrix,2274,TRUE,TRUE,TRUE,TRUE,-1.932885804,Health
ASV462,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,2289,TRUE,TRUE,TRUE,TRUE,-1.948827348,Health
ASV751,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Alteromonadales,D_4__Moritellaceae,D_5__Moritella,2166,TRUE,TRUE,TRUE,TRUE,-2.032421478,Health
ASV537,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Neisseriaceae,D_5__uncultured,2313,TRUE,TRUE,TRUE,TRUE,-2.064130337,Health
ASV109,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Xanthomonadales,D_4__Xanthomonadaceae,D_5__Stenotrophomonas,2336,TRUE,TRUE,TRUE,TRUE,-2.090774296,Health
ASV6,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__Megasphaera,2170,TRUE,TRUE,TRUE,TRUE,-2.212993723,Health
