"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","ASV3","D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Fusobacteriaceae","D_5__Fusobacterium",2156,TRUE,TRUE,TRUE,TRUE
"2","ASV5","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2337,TRUE,TRUE,TRUE,TRUE
"3","ASV6","D_0__Bacteria","D_1__Firmicutes","D_2__Negativicutes","D_3__Selenomonadales","D_4__Veillonellaceae","D_5__Megasphaera",2170,TRUE,TRUE,TRUE,TRUE
"4","ASV17","D_0__Bacteria","D_1__Actinobacteria","D_2__Coriobacteriia","D_3__Coriobacteriales","D_4__Atopobiaceae","D_5__Olsenella",2162,TRUE,TRUE,TRUE,TRUE
"5","ASV22","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",2188,TRUE,TRUE,TRUE,TRUE
"6","ASV24","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotella 9",2179,TRUE,TRUE,TRUE,TRUE
"7","ASV31","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Aeromonadales","D_4__Succinivibrionaceae","D_5__Anaerobiospirillum",2298,TRUE,TRUE,TRUE,TRUE
"8","ASV42","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Family XI","D_5__Finegoldia",2163,TRUE,TRUE,TRUE,TRUE
"9","ASV55","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Corynebacteriales","D_4__Corynebacteriaceae","D_5__Lawsonella",2306,TRUE,TRUE,TRUE,TRUE
"10","ASV69","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Xanthobacteraceae","D_5__Bradyrhizobium",2334,TRUE,TRUE,TRUE,TRUE
"11","ASV74","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingobium",2336,TRUE,TRUE,TRUE,TRUE
"12","ASV76","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Moraxellaceae","D_5__Acinetobacter",2310,TRUE,TRUE,TRUE,TRUE
"13","ASV87","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2336,TRUE,TRUE,TRUE,TRUE
"14","ASV93","D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Fusobacteriaceae","D_5__Fusobacterium",2291,TRUE,TRUE,TRUE,TRUE
"15","ASV109","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Xanthomonadales","D_4__Xanthomonadaceae","D_5__Stenotrophomonas",2336,TRUE,TRUE,TRUE,TRUE
"16","ASV150","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Propionibacteriales","D_4__Propionibacteriaceae","D_5__Cutibacterium",2332,TRUE,TRUE,TRUE,TRUE
"17","ASV154","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2336,TRUE,TRUE,TRUE,TRUE
"18","ASV163","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Burkholderiaceae","D_5__Delftia",2336,TRUE,TRUE,TRUE,TRUE
"19","ASV209","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Flavobacteriales","D_4__Flavobacteriaceae","D_5__Capnocytophaga",2157,TRUE,TRUE,TRUE,TRUE
"20","ASV234","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Rhizobiaceae","D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",2259,TRUE,TRUE,TRUE,TRUE
"21","ASV247","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus",2325,TRUE,TRUE,TRUE,TRUE
"22","ASV260","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus",2318,TRUE,TRUE,TRUE,TRUE
"23","ASV294","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingomonas",2332,TRUE,TRUE,TRUE,TRUE
"24","ASV299","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Family XI","D_5__Peptoniphilus",2145,TRUE,TRUE,TRUE,TRUE
"25","ASV310","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides",2285,TRUE,TRUE,TRUE,TRUE
