"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Ambiguous_taxa",211,FALSE,TRUE,TRUE,TRUE
"2","0319-6G20",9,FALSE,FALSE,FALSE,FALSE
"3","67-14",8,FALSE,FALSE,FALSE,FALSE
"4","A0839",10,FALSE,FALSE,FALSE,FALSE
"5","Acetobacteraceae",8,FALSE,FALSE,FALSE,FALSE
"6","Acholeplasmataceae",11,FALSE,FALSE,FALSE,FALSE
"7","Acholeplasmatales bacterium canine oral taxon 316",11,FALSE,FALSE,FALSE,FALSE
"8","Acidaminococcaceae",9,FALSE,FALSE,FALSE,FALSE
"9","Actinomycetaceae",230,TRUE,TRUE,TRUE,TRUE
"10","Aerococcaceae",11,FALSE,FALSE,FALSE,FALSE
"11","Aeromonadaceae",8,FALSE,FALSE,FALSE,FALSE
"12","Akkermansiaceae",11,FALSE,FALSE,FALSE,FALSE
"13","AKYH767",10,FALSE,FALSE,FALSE,FALSE
"14","Alteromonadaceae",10,FALSE,FALSE,FALSE,FALSE
"15","Anaerolineaceae",10,FALSE,FALSE,FALSE,FALSE
"16","Anaeroplasmataceae",10,FALSE,FALSE,FALSE,FALSE
"17","Aquaspirillaceae",11,FALSE,FALSE,FALSE,FALSE
"18","Archangiaceae",10,FALSE,FALSE,FALSE,FALSE
"19","Arcobacteraceae",12,FALSE,FALSE,FALSE,FALSE
"20","Armatimonadaceae",10,FALSE,FALSE,FALSE,FALSE
"21","Atopobiaceae",9,FALSE,FALSE,FALSE,FALSE
"22","Azospirillaceae",10,FALSE,FALSE,FALSE,FALSE
"23","Babeliaceae",10,FALSE,FALSE,FALSE,FALSE
"24","Bacillaceae",3,FALSE,FALSE,FALSE,FALSE
"25","bacteriap25",10,FALSE,FALSE,FALSE,FALSE
"26","Bacteriovoracaceae",10,FALSE,FALSE,FALSE,FALSE
"27","bacterium LWQ8",10,FALSE,FALSE,FALSE,FALSE
"28","Bacteroidaceae",6,FALSE,FALSE,FALSE,FALSE
"29","Barnesiellaceae",10,FALSE,FALSE,FALSE,FALSE
"30","Bdellovibrionaceae",8,FALSE,FALSE,FALSE,FALSE
"31","Beijerinckiaceae",5,FALSE,FALSE,FALSE,FALSE
"32","Bifidobacteriaceae",6,FALSE,FALSE,FALSE,FALSE
"33","BIrii41",10,FALSE,FALSE,FALSE,FALSE
"34","Blastocatellaceae",10,FALSE,FALSE,FALSE,FALSE
"35","Blattabacteriaceae",10,FALSE,FALSE,FALSE,FALSE
"36","Brevibacteriaceae",10,FALSE,FALSE,FALSE,FALSE
"37","Brocadiaceae",10,FALSE,FALSE,FALSE,FALSE
"38","Burkholderiaceae",241,TRUE,TRUE,TRUE,TRUE
"39","Caldilineaceae",10,FALSE,FALSE,FALSE,FALSE
"40","Campylobacteraceae",8,FALSE,FALSE,FALSE,FALSE
"41","candidate division SR1 bacterium taxon 345",10,FALSE,FALSE,FALSE,FALSE
"42","Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9",10,FALSE,FALSE,FALSE,FALSE
"43","Candidatus Lloydbacteria bacterium RIFOXYC12_FULL_46_25",10,FALSE,FALSE,FALSE,FALSE
"44","Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_12_FULL_41_16",10,FALSE,FALSE,FALSE,FALSE
"45","Candidatus Magasanikbacteria bacterium RIFOXYD1_FULL_40_23",11,FALSE,FALSE,FALSE,FALSE
"46","Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9",10,FALSE,FALSE,FALSE,FALSE
