featureid	CR0118-D02	CR0119-D03	CR097-A1	CR098-A2	CR099-A3	CR1-A1	CR10-A10	CR100-A4	CR101-A5	CR102-A6	CR103-A7	CR104-A8	CR105-A9	CR106-A10	CR107-A11	CR108-A12	CR109-B1	CR11-A11	CR110-B2	CR111-B3	CR112-B4	CR113-B5	CR115-B7	CR116-B8	CR12-A12	CR120-D04	CR121-D05	CR122-D06	CR123-D07	CR124-D08	CR126-D10	CR127-D11	CR134-E06	CR136-E08	CR14-B2	CR140-E12	CR142-F02	CR15-B3	CR16-B4	CR17-B5	CR18-B6	CR19-B7	CR2-A2	CR20-B8	CR21-B9	CR22-B10	CR23-B11	CR24-B12	CR25-C1	CR26-C2	CR27-C3	CR28-C4	CR3-A3	CR30-C6	CR31-C7	CR32-C8	CR33-C9	CR34-C10	CR35-C11	CR36-C12	CR37-D1	CR38-D2	CR39-D3	CR4-A4	CR40-D4	CR41-D5	CR42-D6	CR43-D7	CR44-D8	CR45-D9	CR46-D10	CR47-D11	CR48-D12	CR49-E1	CR5-A5	CR50-E2	CR51-E3	CR52-E4	CR53-E5	CR54-E6	CR55-E7	CR56-E8	CR57-E9	CR58-E10	CR59-E11	CR6-A6	CR60-E12	CR61-F1	CR62-F2	CR63-F3	CR65-F5	CR66-F6	CR67-F7	CR68-F8	CR69-F9	CR7-A7	CR70-F10	CR71-F11	CR72-F12	CR73-G1	CR74-G2	CR75-G3	CR76-G4	CR78-G6	CR8-A8	CR80-G8	CR81-G9	CR82-G10	CR83-G11	CR84-G12	CR85-H1	CR86-H2	CR87-H3	CR88-H4	CR89-H5	CR9-A9	CR90-H6	CR91-H7	CR92-H8	CR93-H9	CR94-H10	CR95-H11	CR96-H12	FeBAL1	FeBAL10	FeBAL11	FeBAL2	FeBAL3	FeBAL4	FeBAL5	FeBAL6	FeBAL7	FeBAL8	FeBAL9
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Roseburia	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	231	222	237	340	136	21	266	7	58	8	0	0	0	0	0	0	0	0	0	285	0	0	0	0	1	0	0	143	7	0	0	577	269	1	436	23	3	0	0	0	115	0	2	388	7	0	357	0	1	0	381	33	0	310	0	1	205	0	0	361	3	2	0	177	0	0	142	0	0	227	2	0	0	65	0	10	0	0	0	2	1	1	183	0	0	79	0	1	0	263	4	0	5	309	0	0	3	0	0	8	0	0	0	6	0	1	17	0	0	0	0	0	0	0	0	1	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;D_6__Bacteroides fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	35	394	19	27	167	95	157	5	3	0	0	0	0	0	0	0	0	0	272	0	9	0	0	79	0	0	28	47	0	0	4	1	1	52	3	1	1	0	0	2	0	0	2	2	0	41	0	0	0	96	9	0	35	0	0	126	0	0	33	366	0	0	240	0	0	190	0	0	4	0	0	0	136	0	329	0	0	58	1	0	0	647	0	0	440	0	0	0	10	292	0	4	59	0	0	163	0	1	221	0	0	0	121	0	1	119	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium;D_6__gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	79	219	134	122	190	83	448	25	0	0	0	0	0	0	0	0	0	0	158	0	0	1	0	208	0	0	33	207	0	0	31	17	0	80	0	4	0	0	0	20	0	0	7	0	0	37	0	1	0	88	5	0	15	0	0	186	0	1	23	147	0	0	42	0	0	135	0	0	11	0	0	0	391	0	255	0	0	145	0	0	0	43	0	0	193	0	0	0	14	132	0	0	82	0	0	232	0	0	211	0	0	0	187	0	0	250	0	0	0	0	0	0	1	0	0	0	4	0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Campylobacteraceae;D_5__Campylobacter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	121	82	196	14	75	9	51	0	115	0	0	0	0	0	0	1	0	9	0	138	0	0	2	0	4	1	0	63	7	0	0	33	13	0	170	53	2	0	0	0	621	3	1	519	5	1	83	0	0	0	311	21	0	178	2	3	96	0	0	203	0	0	0	141	0	0	112	0	0	326	0	0	0	41	1	6	0	1	1	0	1	0	200	0	0	41	0	0	0	184	17	0	2	469	0	0	2	0	0	54	0	0	0	9	0	0	29	0	0	0	0	0	0	0	0	0	0	0	2
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	0	35	190	80	131	162	45	148	90	103	27	114	73	99	56	0	0	14	0	0	0	0	15	0	523	12	4	16	10	20	113	90	0	0	4	0	5	1142	254	9	478	19	8	45	439	130	1	570	451	5	427	408	544	174	257	2	297	254	8	368	514	2	35	106	98	14	610	70	2	83	100	16	200	71	3	11	198	91	2	453	404	11	614	602	2	682	158	422	5	1180	17	457	78	8	1112	633	52	4	977	2	0	0	3	0	8	0	0	0	0	0	3	2	0	4	0	29	0	1	0	0	0	0	7	1260	766	1146	1254	1236	1252	1166	1223	1182	1226	1112
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Megasphaera	0	0	5	0	0	0	0	0	0	0	0	3	1	0	0	472	183	11	148	306	312	228	98	61	4	0	0	0	0	0	0	0	0	0	14	0	0	6	0	256	0	0	306	39	0	1	65	22	0	18	10	0	0	0	0	153	0	0	29	0	0	7	0	1	0	33	3	0	123	0	0	0	0	0	49	6	0	0	1	0	0	21	0	0	30	0	0	0	13	0	18	0	0	0	3	0	0	0	0	0	0	0	0	0	201	8	0	0	29	0	0	8	0	0	42	0	0	0	28	0	0	25	0	0	0	2	0	0	0	0	2	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae;D_5__Frederiksenia;D_6__uncultured bacterium	0	17	57	175	518	70	135	103	143	392	165	228	343	839	23	0	0	0	0	0	0	0	0	0	0	0	305	31	4	0	36	0	8	0	0	0	15	0	89	0	7	133	0	0	0	794	0	4	161	0	0	786	0	0	266	0	7	222	1	0	362	0	0	277	113	0	0	301	0	0	432	0	0	169	0	0	0	78	0	0	78	0	0	29	0	5	0	371	0	0	1	0	204	0	0	70	143	0	0	202	1	0	164	0	0	0	0	255	0	0	1205	0	0	189	0	14	0	229	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter bilis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	143	180	29	274	26	61	118	0	111	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	2	0	0	33	0	0	0	0	0	0	174	3	0	0	0	0	41	0	0	327	0	0	8	0	0	0	150	7	0	34	0	0	0	0	0	154	0	0	0	29	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Conchiformibius	0	10	53	78	30	24	181	100	118	77	84	97	98	21	18	0	0	0	0	0	0	0	0	0	0	0	89	29	0	0	17	0	2	0	0	0	0	0	78	0	0	87	0	0	0	60	0	14	82	0	0	17	0	0	291	0	0	149	0	0	61	0	0	119	63	1	0	208	0	0	163	0	0	154	0	0	0	491	0	0	204	1	0	255	0	0	0	68	0	0	0	0	168	0	0	4	271	0	0	82	1	0	267	0	0	0	0	208	0	0	14	0	0	39	0	6	0	116	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonas	1	14	38	99	119	91	77	78	116	116	164	144	178	75	66	0	0	1	0	0	0	0	0	0	0	5	112	3	0	0	45	0	5	0	0	0	10	0	279	0	0	274	1	0	0	33	0	0	97	0	0	3	0	0	63	0	0	72	0	0	61	0	0	69	168	0	0	173	0	0	109	0	0	230	0	0	0	143	0	0	69	0	0	96	0	0	0	58	0	0	2	0	280	0	0	0	215	0	1	49	0	0	53	0	1	0	0	86	0	0	48	0	0	126	1	2	1	152	0	0	141	0	0	0	0	0	0	0	2	0	0	0	0	1
