featureid	CR0118-D02	CR0119-D03	CR097-A1	CR098-A2	CR099-A3	CR1-A1	CR10-A10	CR100-A4	CR101-A5	CR102-A6	CR103-A7	CR104-A8	CR105-A9	CR106-A10	CR107-A11	CR108-A12	CR109-B1	CR11-A11	CR110-B2	CR111-B3	CR112-B4	CR113-B5	CR115-B7	CR116-B8	CR117-D01	CR12-A12	CR120-D04	CR121-D05	CR122-D06	CR123-D07	CR124-D08	CR125-D09	CR126-D10	CR127-D11	CR128-D12	CR129-E01	CR13-B1	CR130-E02	CR131-E03	CR132-E04	CR133-E05	CR134-E06	CR135-E07	CR136-E08	CR137-E09	CR138-E10	CR139-E11	CR14-B2	CR140-E12	CR141-F01	CR142-F02	CR15-B3	CR16-B4	CR17-B5	CR18-B6	CR19-B7	CR2-A2	CR20-B8	CR21-B9	CR22-B10	CR23-B11	CR24-B12	CR25-C1	CR26-C2	CR27-C3	CR28-C4	CR29-C5	CR3-A3	CR30-C6	CR31-C7	CR32-C8	CR33-C9	CR34-C10	CR35-C11	CR36-C12	CR37-D1	CR38-D2	CR39-D3	CR4-A4	CR40-D4	CR41-D5	CR42-D6	CR43-D7	CR44-D8	CR45-D9	CR46-D10	CR47-D11	CR48-D12	CR49-E1	CR5-A5	CR50-E2	CR51-E3	CR52-E4	CR53-E5	CR54-E6	CR55-E7	CR56-E8	CR57-E9	CR58-E10	CR59-E11	CR6-A6	CR60-E12	CR61-F1	CR62-F2	CR63-F3	CR64-F4	CR65-F5	CR66-F6	CR67-F7	CR68-F8	CR69-F9	CR7-A7	CR70-F10	CR71-F11	CR72-F12	CR73-G1	CR74-G2	CR75-G3	CR76-G4	CR78-G6	CR8-A8	CR80-G8	CR81-G9	CR82-G10	CR83-G11	CR84-G12	CR85-H1	CR86-H2	CR87-H3	CR88-H4	CR89-H5	CR9-A9	CR90-H6	CR91-H7	CR92-H8	CR93-H9	CR94-H10	CR95-H11	CR96-H12	Fe-BAL-1	Fe-BAL-10	Fe-BAL-11	Fe-BAL-2	Fe-BAL-3	Fe-BAL-4	Fe-BAL-5	Fe-BAL-6	Fe-BAL-7	Fe-BAL-8	Fe-BAL-9	Fe-BAL-Annie	Fe-BAL-Fluffy	Taxon
b60dfc74b3e5bd46247d99bfd2ad3c10	0	0	0	7	12	0	0	28	7	0	11	15	9	19	5	27708	18497	27202	45033	19247	2744	31091	388	1951	0	29	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44774	0	0	0	0	0	302	0	30	14093	499	0	17	37306	1087	18	53109	89	135	0	0	0	57	13902	0	35	35180	10	10	42930	0	32	49	32352	148	35	45074	0	140	9636	0	53	30609	267	3	32	14833	0	36	16374	0	0	26212	4	0	0	5079	0	0	1268	6	41	90	21	16	25	16476	0	0	8946	0	15	0	14974	585	0	79	40266	0	0	318	0	0	633	0	0	21	262	0	27	2099	0	0	0	0	0	0	0	0	9	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Roseburia
2c982937754e6321f861027032db80f7	0	0	0	0	16	0	0	0	0	4	0	10	0	10	0	14928	3031	66855	2941	3872	22018	13410	16565	385	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43141	0	0	21	0	13	10153	0	14	3150	5657	0	0	154	9	16	7527	9	23	0	4	0	24	537	0	17	272	6	0	6430	0	0	33	10220	28	24	4641	0	26	17155	0	19	3916	37727	0	22	31291	0	28	20487	0	0	254	0	0	20	17262	0	0	46085	0	11	8833	11	0	22	69122	0	0	53718	0	0	0	1294	29636	0	271	6372	0	0	18467	0	5	27456	0	0	15	11709	0	66	14022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;D_6__Bacteroides fragilis
b9bd4ddc71b5261571e53f606451241d	0	0	0	7	0	0	9	11	0	0	8	14	0	0	0	16036	6550	34968	16412	15057	28799	9470	45411	2699	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24390	0	0	0	3	9	24667	0	15	3957	24350	0	0	2912	74	0	8389	10	28	0	0	0	9	2693	0	13	1196	0	0	3787	0	18	21	10866	18	14	1801	0	20	22953	0	14	3506	12723	0	0	6773	0	14	17427	0	6	1678	0	0	0	37358	0	0	37260	0	16	20677	0	0	0	3741	0	0	26298	0	0	0	1272	14883	0	13	9333	0	0	23653	0	0	27507	0	0	13	18726	0	9	32375	0	0	0	0	0	0	3	0	0	0	6	0	0	0	D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium;D_6__gut metagenome
24cb328c9fd7acc137e16d564d2da79b	0	0	0	0	0	0	23	10	3	0	0	15	0	6	0	13313	6988	31220	1855	11607	1217	3775	18	14219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21468	0	0	0	3	0	537	2	17	6481	927	0	5	3040	79	13	20183	189	56	0	0	0	34	71958	5	52	67175	9	15	10350	0	28	37	35986	119	25	28079	2	86	12830	0	34	25651	203	0	28	19146	0	22	15767	0	8	36242	0	0	11	3354	0	0	1576	0	16	142	20	21	9	20846	4	7	5361	0	13	0	21885	1658	0	67	56063	0	0	397	0	9	5612	0	0	19	814	0	22	3585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Campylobacteraceae;D_5__Campylobacter
c06ccd1f7d57566ef669942328b1a946	0	51	1460	4584	9024	3755	3902	9367	4899	3096	2973	8005	6058	7361	5044	0	0	1888	0	0	0	0	1568	0	0	1561	19	0	42	17	12	0	0	27	0	0	3	0	0	0	0	0	0	0	0	0	0	683	0	0	0	1658	10350	1201	634	2188	729	4485	866	3831	308	3338	20150	468	1627	17794	0	1232	281	14478	363	592	12901	1039	610	13253	310	163	6346	9123	1696	2569	6428	423	147	4933	1080	276	8147	446	458	475	7935	487	471	29091	1365	1330	17140	297	3505	447	20702	715	15849	2	2837	1151	6831	993	18932	6104	4086	510	4476	12	14	0	28	0	1364	0	0	19	0	0	18	315	0	25	10	64	0	20	14	0	19	12	0	4904	3865	2122	4293	8987	7106	6563	7657	5224	4626	4901	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas
44158349d8858abc6c04aada0c131da5	0	0	9	8	14	9	8	14	8	12	15	75	41	26	12	59506	16286	1781	20479	37519	37687	26037	8766	8048	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2347	0	0	0	10	12	25801	0	6	37857	3828	0	4	4894	147	6	1776	56	7	0	0	0	5	19784	0	17	2901	0	0	712	0	9	6	2864	22	6	17579	0	54	16	0	0	4105	378	0	0	688	0	0	2508	0	3	2359	0	0	0	1878	0	0	1804	0	0	322	21	7	8	80	0	0	230	0	0	0	19641	570	0	0	3316	0	0	470	0	0	3555	0	0	7	2664	0	0	2390	0	0	0	2	0	0	0	0	34	0	0	4	0	2	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Megasphaera
11ff62f758f7c7e2e53e141ac7b9274d	0	0	255	7484	25530	981	3105	4690	3062	8265	6721	4952	26551	54930	2084	0	0	0	12	12	0	0	0	0	0	0	0	5678	80	7	0	0	86	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	41	3	902	28	7	1825	0	19	0	21600	0	33	4254	0	0	30258	0	0	0	8826	32	12	2924	30	0	7602	0	0	10543	4506	18	0	15797	0	0	17946	0	0	5117	26	19	0	2358	0	0	1504	20	0	488	0	18	0	15502	0	0	10	0	0	6785	0	0	660	2781	0	0	1281	29	0	2307	0	28	0	0	2160	0	0	11539	0	0	1338	32	28	0	6722	39	0	3366	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae;D_5__Frederiksenia;D_6__uncultured bacterium
0d27784339fa9255939acf28702e4025	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	17701	18092	4861	36151	3579	6484	14301	17	13526	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5649	0	0	0	0	0	446	0	0	4592	0	0	0	0	0	0	21064	12	35	0	0	0	6	6525	0	11	39871	0	8	928	0	0	15	17666	56	9	4859	0	18	22	0	0	18270	9	0	0	2857	0	0	9	0	0	10	0	0	13	369	0	0	10	0	8	0	7	0	0	8	0	0	54	0	0	0	25750	4	0	0	51	0	5	0	0	0	8	0	0	0	38	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter bilis
75a32e3eaa1d95eb75062f72e1cb32d7	0	39	456	3894	1848	149	11741	5506	5561	1466	6526	5290	5803	1363	2311	5	0	0	4	0	19	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	0	4902	0	0	0	1251	0	0	750	0	0	377	0	0	0	15467	0	0	4988	14	0	804	0	0	3091	3035	17	0	19985	0	0	6570	12	0	6389	16	0	0	38443	16	0	11106	21	0	3405	16	0	0	2465	0	0	0	0	0	6364	0	0	0	15510	0	0	782	11	0	4797	0	21	0	0	2449	15	0	55	0	0	92	19	10	0	4314	0	0	14617	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Conchiformibius
92781b650bb770ad3cf7b0ece65350d0	0	45	155	1907	4959	771	3690	3277	2043	1572	5977	5625	8110	3410	2145	7	0	20	0	0	0	0	0	0	0	0	8	2690	6	2	0	0	65	0	25	0	0	0	0	0	0	8	0	0	6	0	0	21	0	0	39	0	8116	21	0	23882	21	10	0	861	17	0	2955	0	0	175	3	0	0	2822	12	0	2463	12	0	986	17	0	2379	7693	17	0	14220	16	0	4065	0	0	15131	9	9	0	12189	14	0	3797	0	0	2067	0	0	0	2206	0	0	0	27	0	15463	12	3	0	14139	15	4	230	13	0	1272	0	14	0	0	2154	16	0	271	0	0	896	8	6	3	9587	0	0	10527	10	0	0	0	0	0	0	12	0	0	0	0	4	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonas
