ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV1,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Lachnospiraceae,D_5__Roseburia
ASV2,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides
ASV3,D_0__Bacteria,D_1__Fusobacteria,D_2__Fusobacteriia,D_3__Fusobacteriales,D_4__Fusobacteriaceae,D_5__Fusobacterium
ASV4,D_0__Bacteria,D_1__Epsilonbacteraeota,D_2__Campylobacteria,D_3__Campylobacterales,D_4__Campylobacteraceae,D_5__Campylobacter
ASV5,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas
ASV6,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__Megasphaera
ASV7,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Frederiksenia
ASV8,D_0__Bacteria,D_1__Epsilonbacteraeota,D_2__Campylobacteria,D_3__Campylobacterales,D_4__Helicobacteraceae,D_5__Helicobacter
ASV9,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Neisseriaceae,D_5__Conchiformibius
ASV10,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Porphyromonadaceae,D_5__Porphyromonas
ASV11,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Gallibacterium
ASV12,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Frederiksenia
ASV13,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides
ASV14,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,NA
ASV15,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Lachnospiraceae,D_5__Tyzzerella 4
